Smiles,PIC50
Cc1c[nH]nc1C(=O)Nc1ccc(F)cc1Cl,6.343901798
O=C(Nc1ccc(Cl)cn1)c1cc[nH]n1,7.366531544
O=C(Nc1ncc(Cl)s1)c1cc[nH]n1,6.415668776
Oc1ccc(Br)cc1-c1cc(-c2ccccc2Cl)[nH]n1,4.301029996
CCCCCNC(=O)n1ccc(C(=O)Nc2ccc(F)cc2Cl)n1,6.886056648
CCOC(=O)c1ccc[nH]1,4
O=C(OCC#CCSc1nnc(-c2ccc(Cl)cc2)o1)c1ccc(F)cc1,8
O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1cc(Br)ccc1O,5.823908741
CCCCNC(=O)c1cc(CCC)sc1N,4.301029996
C=CCNC(=O)c1cc(-c2ccccc2)sc1N,4.68613278
COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4ccc(F)cc4s3)cc2)c1O,5.346787486
CCOC(=O)CCCCCNC(=O)n1ccc(C(=O)Nc2ccc(F)cc2Cl)n1,6.850780887
Clc1ccc2nc(-c3cc[nH]n3)oc2c1,7.886056648
Clc1ccc2oc(-c3cc[nH]n3)nc2c1,6.906578315
Clc1ccc2nc(-c3cc(Cl)[nH]n3)oc2c1,8.397940009
Clc1ccc2nc(-c3cc[nH]n3)oc2c1,7.698970004
Cc1c[nH]nc1C(=O)Nc1ccc(F)cc1Cl,6.73754891
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc[nH]n1,6.744727495
O=C(O)c1cc(C(=O)C(=O)c2cc(C(=O)O)c(O)c3ccccc23)c2ccccc2c1O,4.602059991
O=C(Nc1ccc(F)cc1C(F)(F)F)c1cc[nH]n1,6.774690718
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(=O)Cc1ccc(Cl)cc1,5.924453039
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C)=O,5.63638802
CC(=O)n1ccc(C(=O)Nc2ccc(Cl)c(Cl)c2)n1,6.368556231
O=C(Nc1ccc(F)cc1Cl)c1ccn(S(=O)(=O)c2cccc(C(F)(F)F)c2)n1,5.711303739
CCCCNC(=O)c1cc(Cc2ccccc2)sc1N,4.301029996
Nc1sc(-c2ccccc2)cc1C(=O)NCCCCc1ccccc1,4.301029996
Cc1[nH]c2ccccc2c1C(=O)c1cc(Cc2ccccc2)sc1N,4.609064893
O=C(Nc1ccc(F)cc1Cl)c1n[nH]cc1I,6.258848401
Cc1c(C(=O)Nc2ccc(F)cc2Cl)n[nH]c1[Si](C)(C)C,6.172630727
O=S(=O)(Nc1nc2ccccc2s1)c1ccc(NCc2cccc(Cl)c2O)cc1,5.886056648
CCOC(=O)CCCCCNC(=O)n1ccc(C(=O)Nc2ccc(F)cc2Cl)n1,6.602059991
CNc1oc(-c2c[nH]c3ccccc23)nc1C#N,5.408935393
CNc1oc(-c2cccc3ncccc23)nc1C#N,5.443697499
CCCCNC(=O)c1cc(-c2ccccc2)sc1NC(=O)CCC,4.721246399
CCCCCCCCNC(=O)c1cc(-c2ccccc2)sc1N,4.381951903
CCCCCNC(=O)c1cc(-c2ccccc2)sc1N,4.747146969
Clc1ccc2nc(-c3n[nH]c(Cl)c3Cl)oc2c1,8.698970004
CNc1nc(-c2cccc3ccccc23)ccc1C#N,4.397940009
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)COc1ccc(Cl)cc1Cl,6.004364805
CCOC(=O)c1c(CSc2c(C)cc(C)cc2C)n(C)c2ccc(O)cc12,5.086186148
O=C(Nc1ccc(F)cc1Cl)c1cc(I)[nH]n1,7.568636236
O=C(Nc1ccc(F)cn1)c1cn[nH]n1,5.507239611
O=C(Nc1cc2ccccc2cn1)c1cc[nH]n1,6.074172425
CNc1nc(C#N)c(-c2cccc3ccccc23)o1,4.397940009
CNc1oc(-c2cccc(Cl)c2Cl)nc1C#N,4.301029996
N#Cc1nc(-c2cccc3ccccc23)oc1Nc1ccccc1,4.522878745
CNc1sc(-c2cccc3ccccc23)nc1C(=O)OC,4.522878745
CNc1oc(-c2ccc3cnccc3c2)nc1C#N,6.13667714
CNc1oc(-c2cccc3nccnc23)nc1C#N,4.397940009
CNc1oc(-c2ccc(Cl)c(Cl)c2)nc1C#N,6.091514981
N#Cc1nc(-c2cccc3ccccc23)oc1NC1COC1,4.602059991
c1ccc2oc(-c3cc[nH]n3)nc2c1,5.485053995
O=C(Nc1ccc(F)cc1Cl)c1cc(C(F)F)[nH]n1,6.665546249
Nc1c[nH]nc1C(=O)Nc1ccc(F)cc1Cl,7.161150909
CNc1sc(-c2cccc3ccccc23)nc1C#N,6.259637311
Cc1nnc(/N=C2\NC(=O)/C(=C/c3ccc(Br)cc3)S2)s1,5.507239611
Cc1nnc(/N=C2\NC(=O)/C(=C/C=C/c3ccccc3)S2)s1,5.473660723
CCCCC(=O)N/N=C/c1c(C(=O)OCC)[nH]c2cc(Cl)ccc12,5
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)CC1CCCC1,5
O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1c(O)ccc2ccccc12,6.22184875
C[C@H](Cc1cc(O)c(O)cc1Br)[C@@H](C)Cc1cc(O)c(O)cc1Br,7.080921908
O=C(Nc1ccccn1)c1cc[nH]n1,5.91829273
O=C(Nc1ccc(F)cc1Cl)c1n[nH]cc1Br,6.537602002
